task_id,task_type,difficulty,instruction,input
218,reasoning,hard,"Explain the reasoning behind this statement: If all cats are mammals, and all mammals are animals, then all cats are animals.","If all cats are mammals, and all mammals are animals, then all cats are animals."
219,translation,hard,Translate this English text to French: The book is on the table.,The book is on the table.
220,classification,easy,"Classify the sentiment of this text as positive, negative, or neutral: This restaurant exceeded all my expectations.",This restaurant exceeded all my expectations.
221,summarization,medium,"Summarize the following text in one sentence: Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause.","Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause."
222,classification,medium,"Classify the sentiment of this text as positive, negative, or neutral: This restaurant exceeded all my expectations.",This restaurant exceeded all my expectations.
223,qa,easy,Answer the question based on the context: Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.,Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.
224,qa,medium,Answer the question based on the context: Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.,Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.
225,qa,medium,"Answer the question based on the context: Question: What is photosynthesis? Context: Photosynthesis is the process by which plants convert light energy into chemical energy. Plants use sunlight, water, and carbon dioxide to produce glucose and oxygen.","Question: What is photosynthesis? Context: Photosynthesis is the process by which plants convert light energy into chemical energy. Plants use sunlight, water, and carbon dioxide to produce glucose and oxygen."
226,classification,medium,"Classify the sentiment of this text as positive, negative, or neutral: This movie was absolutely fantastic! I loved every minute of it.",This movie was absolutely fantastic! I loved every minute of it.
227,reasoning,easy,Explain the reasoning behind this statement: The Earth orbits the Sun due to gravitational attraction.,The Earth orbits the Sun due to gravitational attraction.
228,summarization,hard,"Summarize the following text in one sentence: Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing.","Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing."
229,classification,easy,"Classify the sentiment of this text as positive, negative, or neutral: Best purchase ever! Highly recommend to everyone.",Best purchase ever! Highly recommend to everyone.
230,summarization,easy,"Summarize the following text in one sentence: Quantum computing represents a paradigm shift in computational power. Unlike classical computers that use bits, quantum computers use qubits that can exist in multiple states simultaneously. This allows them to solve certain problems exponentially faster than traditional computers.","Quantum computing represents a paradigm shift in computational power. Unlike classical computers that use bits, quantum computers use qubits that can exist in multiple states simultaneously. This allows them to solve certain problems exponentially faster than traditional computers."
231,summarization,easy,"Summarize the following text in one sentence: Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause.","Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause."
232,translation,hard,Translate this English text to French: The weather is beautiful this morning.,The weather is beautiful this morning.
233,reasoning,easy,Explain the reasoning behind this statement: Metals conduct electricity because they have free electrons.,Metals conduct electricity because they have free electrons.
234,qa,medium,"Answer the question based on the context: Question: Who wrote Romeo and Juliet? Context: William Shakespeare was an English playwright and poet. He wrote many famous plays including Romeo and Juliet, Hamlet, and Macbeth.","Question: Who wrote Romeo and Juliet? Context: William Shakespeare was an English playwright and poet. He wrote many famous plays including Romeo and Juliet, Hamlet, and Macbeth."
235,reasoning,hard,Explain the reasoning behind this statement: The sky appears blue because of Rayleigh scattering.,The sky appears blue because of Rayleigh scattering.
236,summarization,medium,"Summarize the following text in one sentence: Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing.","Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing."
237,reasoning,easy,Explain the reasoning behind this statement: Ice floats on water because it is less dense than liquid water.,Ice floats on water because it is less dense than liquid water.
238,reasoning,hard,Explain the reasoning behind this statement: Vaccines work by training the immune system to recognize pathogens.,Vaccines work by training the immune system to recognize pathogens.
239,translation,hard,Translate this English text to French: Where is the nearest train station?,Where is the nearest train station?
240,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: Best purchase ever! Highly recommend to everyone.",Best purchase ever! Highly recommend to everyone.
241,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: Waste of money. Very disappointed with the quality.",Waste of money. Very disappointed with the quality.
242,reasoning,easy,Explain the reasoning behind this statement: Sound travels faster in water than in air due to density differences.,Sound travels faster in water than in air due to density differences.
243,classification,medium,"Classify the sentiment of this text as positive, negative, or neutral: An incredible experience from start to finish.",An incredible experience from start to finish.
244,translation,hard,"Translate this English text to French: Good morning, have a great day!","Good morning, have a great day!"
245,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: The book was engaging and well-written throughout.",The book was engaging and well-written throughout.
246,classification,medium,"Classify the sentiment of this text as positive, negative, or neutral: The product broke after just one week of use.",The product broke after just one week of use.
247,classification,medium,"Classify the sentiment of this text as positive, negative, or neutral: The book was engaging and well-written throughout.",The book was engaging and well-written throughout.
248,translation,hard,Translate this English text to French: I would like to order a coffee please.,I would like to order a coffee please.
249,translation,easy,Translate this English text to French: Can you help me find my way?,Can you help me find my way?
250,qa,hard,"Answer the question based on the context: Question: What is the speed of light? Context: The speed of light in a vacuum is approximately 299,792,458 meters per second. This is considered the universal speed limit according to Einstein's theory of relativity.","Question: What is the speed of light? Context: The speed of light in a vacuum is approximately 299,792,458 meters per second. This is considered the universal speed limit according to Einstein's theory of relativity."
251,translation,medium,Translate this English text to French: I love learning new languages.,I love learning new languages.
252,reasoning,medium,Explain the reasoning behind this statement: The Earth orbits the Sun due to gravitational attraction.,The Earth orbits the Sun due to gravitational attraction.
253,summarization,easy,"Summarize the following text in one sentence: The human brain is an incredibly complex organ. It contains approximately 86 billion neurons that communicate through trillions of connections. Despite decades of research, scientists are still working to understand how consciousness emerges from neural activity.","The human brain is an incredibly complex organ. It contains approximately 86 billion neurons that communicate through trillions of connections. Despite decades of research, scientists are still working to understand how consciousness emerges from neural activity."
254,translation,easy,Translate this English text to French: This is a wonderful opportunity.,This is a wonderful opportunity.
255,reasoning,hard,Explain the reasoning behind this statement: Vaccines work by training the immune system to recognize pathogens.,Vaccines work by training the immune system to recognize pathogens.
256,qa,easy,Answer the question based on the context: Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.,Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.
257,qa,easy,Answer the question based on the context: Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.,Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.
258,summarization,medium,"Summarize the following text in one sentence: The human brain is an incredibly complex organ. It contains approximately 86 billion neurons that communicate through trillions of connections. Despite decades of research, scientists are still working to understand how consciousness emerges from neural activity.","The human brain is an incredibly complex organ. It contains approximately 86 billion neurons that communicate through trillions of connections. Despite decades of research, scientists are still working to understand how consciousness emerges from neural activity."
259,qa,medium,"Answer the question based on the context: Question: What is the speed of light? Context: The speed of light in a vacuum is approximately 299,792,458 meters per second. This is considered the universal speed limit according to Einstein's theory of relativity.","Question: What is the speed of light? Context: The speed of light in a vacuum is approximately 299,792,458 meters per second. This is considered the universal speed limit according to Einstein's theory of relativity."
260,qa,hard,"Answer the question based on the context: Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage.","Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage."
261,reasoning,easy,Explain the reasoning behind this statement: The sky appears blue because of Rayleigh scattering.,The sky appears blue because of Rayleigh scattering.
262,summarization,hard,"Summarize the following text in one sentence: The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment.","The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment."
263,translation,hard,Translate this English text to French: Where is the nearest train station?,Where is the nearest train station?
264,translation,hard,Translate this English text to French: This is a wonderful opportunity.,This is a wonderful opportunity.
265,translation,easy,Translate this English text to French: The weather is beautiful this morning.,The weather is beautiful this morning.
266,qa,easy,Answer the question based on the context: Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.,Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.
267,summarization,medium,"Summarize the following text in one sentence: Quantum computing represents a paradigm shift in computational power. Unlike classical computers that use bits, quantum computers use qubits that can exist in multiple states simultaneously. This allows them to solve certain problems exponentially faster than traditional computers.","Quantum computing represents a paradigm shift in computational power. Unlike classical computers that use bits, quantum computers use qubits that can exist in multiple states simultaneously. This allows them to solve certain problems exponentially faster than traditional computers."
268,qa,medium,"Answer the question based on the context: Question: What is the speed of light? Context: The speed of light in a vacuum is approximately 299,792,458 meters per second. This is considered the universal speed limit according to Einstein's theory of relativity.","Question: What is the speed of light? Context: The speed of light in a vacuum is approximately 299,792,458 meters per second. This is considered the universal speed limit according to Einstein's theory of relativity."
269,reasoning,medium,Explain the reasoning behind this statement: Vaccines work by training the immune system to recognize pathogens.,Vaccines work by training the immune system to recognize pathogens.
270,reasoning,medium,Explain the reasoning behind this statement: The Earth orbits the Sun due to gravitational attraction.,The Earth orbits the Sun due to gravitational attraction.
271,translation,medium,Translate this English text to French: Thank you very much for your help.,Thank you very much for your help.
272,qa,easy,"Answer the question based on the context: Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage.","Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage."
273,summarization,medium,"Summarize the following text in one sentence: Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing.","Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing."
274,reasoning,hard,Explain the reasoning behind this statement: Water boils at 100 degrees Celsius at sea level because that's when vapor pressure equals atmospheric pressure.,Water boils at 100 degrees Celsius at sea level because that's when vapor pressure equals atmospheric pressure.
275,summarization,easy,"Summarize the following text in one sentence: The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment.","The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment."
276,qa,hard,"Answer the question based on the context: Question: What is the speed of light? Context: The speed of light in a vacuum is approximately 299,792,458 meters per second. This is considered the universal speed limit according to Einstein's theory of relativity.","Question: What is the speed of light? Context: The speed of light in a vacuum is approximately 299,792,458 meters per second. This is considered the universal speed limit according to Einstein's theory of relativity."
277,reasoning,hard,Explain the reasoning behind this statement: Ice floats on water because it is less dense than liquid water.,Ice floats on water because it is less dense than liquid water.
278,classification,easy,"Classify the sentiment of this text as positive, negative, or neutral: Waste of money. Very disappointed with the quality.",Waste of money. Very disappointed with the quality.
279,summarization,medium,"Summarize the following text in one sentence: Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause.","Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause."
280,qa,easy,"Answer the question based on the context: Question: What is the speed of light? Context: The speed of light in a vacuum is approximately 299,792,458 meters per second. This is considered the universal speed limit according to Einstein's theory of relativity.","Question: What is the speed of light? Context: The speed of light in a vacuum is approximately 299,792,458 meters per second. This is considered the universal speed limit according to Einstein's theory of relativity."
281,summarization,medium,"Summarize the following text in one sentence: Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing.","Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing."
282,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: Waste of money. Very disappointed with the quality.",Waste of money. Very disappointed with the quality.
283,summarization,hard,"Summarize the following text in one sentence: The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment.","The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment."
284,classification,easy,"Classify the sentiment of this text as positive, negative, or neutral: Not worth the price. There are better alternatives.",Not worth the price. There are better alternatives.
285,qa,medium,Answer the question based on the context: Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.,Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.
286,translation,medium,Translate this English text to French: I would like to order a coffee please.,I would like to order a coffee please.
287,classification,medium,"Classify the sentiment of this text as positive, negative, or neutral: The product broke after just one week of use.",The product broke after just one week of use.
288,classification,easy,"Classify the sentiment of this text as positive, negative, or neutral: This restaurant exceeded all my expectations.",This restaurant exceeded all my expectations.
289,translation,easy,Translate this English text to French: The book is on the table.,The book is on the table.
290,classification,easy,"Classify the sentiment of this text as positive, negative, or neutral: I'm not sure how I feel about this product. It's okay I guess.",I'm not sure how I feel about this product. It's okay I guess.
291,reasoning,medium,Explain the reasoning behind this statement: The sky appears blue because of Rayleigh scattering.,The sky appears blue because of Rayleigh scattering.
292,summarization,easy,"Summarize the following text in one sentence: Quantum computing represents a paradigm shift in computational power. Unlike classical computers that use bits, quantum computers use qubits that can exist in multiple states simultaneously. This allows them to solve certain problems exponentially faster than traditional computers.","Quantum computing represents a paradigm shift in computational power. Unlike classical computers that use bits, quantum computers use qubits that can exist in multiple states simultaneously. This allows them to solve certain problems exponentially faster than traditional computers."
293,translation,hard,Translate this English text to French: The book is on the table.,The book is on the table.
294,reasoning,easy,Explain the reasoning behind this statement: The moon causes tides through gravitational pull on Earth's oceans.,The moon causes tides through gravitational pull on Earth's oceans.
295,translation,medium,Translate this English text to French: This is a wonderful opportunity.,This is a wonderful opportunity.
296,qa,hard,Answer the question based on the context: Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.,Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.
297,qa,hard,"Answer the question based on the context: Question: What is the speed of light? Context: The speed of light in a vacuum is approximately 299,792,458 meters per second. This is considered the universal speed limit according to Einstein's theory of relativity.","Question: What is the speed of light? Context: The speed of light in a vacuum is approximately 299,792,458 meters per second. This is considered the universal speed limit according to Einstein's theory of relativity."
298,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: The service was terrible and the food was cold.",The service was terrible and the food was cold.
299,summarization,hard,"Summarize the following text in one sentence: Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause.","Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause."
300,qa,hard,"Answer the question based on the context: Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage.","Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage."
301,summarization,easy,"Summarize the following text in one sentence: Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause.","Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause."
302,reasoning,easy,Explain the reasoning behind this statement: Water boils at 100 degrees Celsius at sea level because that's when vapor pressure equals atmospheric pressure.,Water boils at 100 degrees Celsius at sea level because that's when vapor pressure equals atmospheric pressure.
303,classification,medium,"Classify the sentiment of this text as positive, negative, or neutral: The product broke after just one week of use.",The product broke after just one week of use.
304,reasoning,medium,Explain the reasoning behind this statement: Ice floats on water because it is less dense than liquid water.,Ice floats on water because it is less dense than liquid water.
305,classification,easy,"Classify the sentiment of this text as positive, negative, or neutral: Waste of money. Very disappointed with the quality.",Waste of money. Very disappointed with the quality.
306,qa,hard,Answer the question based on the context: Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.,Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.
307,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: Best purchase ever! Highly recommend to everyone.",Best purchase ever! Highly recommend to everyone.
308,qa,hard,"Answer the question based on the context: Question: What is the speed of light? Context: The speed of light in a vacuum is approximately 299,792,458 meters per second. This is considered the universal speed limit according to Einstein's theory of relativity.","Question: What is the speed of light? Context: The speed of light in a vacuum is approximately 299,792,458 meters per second. This is considered the universal speed limit according to Einstein's theory of relativity."
309,summarization,medium,"Summarize the following text in one sentence: Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing.","Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing."
310,reasoning,easy,Explain the reasoning behind this statement: Water boils at 100 degrees Celsius at sea level because that's when vapor pressure equals atmospheric pressure.,Water boils at 100 degrees Celsius at sea level because that's when vapor pressure equals atmospheric pressure.
311,qa,easy,"Answer the question based on the context: Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage.","Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage."
312,classification,easy,"Classify the sentiment of this text as positive, negative, or neutral: Waste of money. Very disappointed with the quality.",Waste of money. Very disappointed with the quality.
313,reasoning,hard,Explain the reasoning behind this statement: Sound travels faster in water than in air due to density differences.,Sound travels faster in water than in air due to density differences.
314,qa,medium,"Answer the question based on the context: Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage.","Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage."
315,translation,hard,Translate this English text to French: Thank you very much for your help.,Thank you very much for your help.
316,translation,medium,Translate this English text to French: Can you help me find my way?,Can you help me find my way?
317,reasoning,medium,Explain the reasoning behind this statement: Metals conduct electricity because they have free electrons.,Metals conduct electricity because they have free electrons.
318,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: This movie was absolutely fantastic! I loved every minute of it.",This movie was absolutely fantastic! I loved every minute of it.
319,translation,hard,"Translate this English text to French: Good morning, have a great day!","Good morning, have a great day!"
320,reasoning,medium,"Explain the reasoning behind this statement: If all cats are mammals, and all mammals are animals, then all cats are animals.","If all cats are mammals, and all mammals are animals, then all cats are animals."
321,classification,easy,"Classify the sentiment of this text as positive, negative, or neutral: Not worth the price. There are better alternatives.",Not worth the price. There are better alternatives.
322,reasoning,easy,Explain the reasoning behind this statement: Ice floats on water because it is less dense than liquid water.,Ice floats on water because it is less dense than liquid water.
323,reasoning,easy,Explain the reasoning behind this statement: Water boils at 100 degrees Celsius at sea level because that's when vapor pressure equals atmospheric pressure.,Water boils at 100 degrees Celsius at sea level because that's when vapor pressure equals atmospheric pressure.
324,translation,hard,Translate this English text to French: This is a wonderful opportunity.,This is a wonderful opportunity.
325,qa,easy,"Answer the question based on the context: Question: What is the speed of light? Context: The speed of light in a vacuum is approximately 299,792,458 meters per second. This is considered the universal speed limit according to Einstein's theory of relativity.","Question: What is the speed of light? Context: The speed of light in a vacuum is approximately 299,792,458 meters per second. This is considered the universal speed limit according to Einstein's theory of relativity."
326,translation,hard,Translate this English text to French: This is a wonderful opportunity.,This is a wonderful opportunity.
327,classification,medium,"Classify the sentiment of this text as positive, negative, or neutral: The book was engaging and well-written throughout.",The book was engaging and well-written throughout.
328,translation,medium,"Translate this English text to French: Good morning, have a great day!","Good morning, have a great day!"
329,classification,easy,"Classify the sentiment of this text as positive, negative, or neutral: The book was engaging and well-written throughout.",The book was engaging and well-written throughout.
330,translation,hard,Translate this English text to French: This is a wonderful opportunity.,This is a wonderful opportunity.
331,qa,hard,Answer the question based on the context: Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.,Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.
332,reasoning,easy,Explain the reasoning behind this statement: Metals conduct electricity because they have free electrons.,Metals conduct electricity because they have free electrons.
333,classification,medium,"Classify the sentiment of this text as positive, negative, or neutral: Waste of money. Very disappointed with the quality.",Waste of money. Very disappointed with the quality.
334,qa,easy,Answer the question based on the context: Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.,Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.
335,reasoning,easy,Explain the reasoning behind this statement: The moon causes tides through gravitational pull on Earth's oceans.,The moon causes tides through gravitational pull on Earth's oceans.
336,translation,medium,"Translate this English text to French: Hello, how are you today?","Hello, how are you today?"
337,summarization,hard,"Summarize the following text in one sentence: The human brain is an incredibly complex organ. It contains approximately 86 billion neurons that communicate through trillions of connections. Despite decades of research, scientists are still working to understand how consciousness emerges from neural activity.","The human brain is an incredibly complex organ. It contains approximately 86 billion neurons that communicate through trillions of connections. Despite decades of research, scientists are still working to understand how consciousness emerges from neural activity."
338,reasoning,medium,Explain the reasoning behind this statement: Metals conduct electricity because they have free electrons.,Metals conduct electricity because they have free electrons.
339,classification,easy,"Classify the sentiment of this text as positive, negative, or neutral: Waste of money. Very disappointed with the quality.",Waste of money. Very disappointed with the quality.
340,reasoning,easy,Explain the reasoning behind this statement: Ice floats on water because it is less dense than liquid water.,Ice floats on water because it is less dense than liquid water.
341,translation,hard,Translate this English text to French: This is a wonderful opportunity.,This is a wonderful opportunity.
342,classification,easy,"Classify the sentiment of this text as positive, negative, or neutral: Not worth the price. There are better alternatives.",Not worth the price. There are better alternatives.
343,summarization,hard,"Summarize the following text in one sentence: Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause.","Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause."
344,qa,hard,"Answer the question based on the context: Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage.","Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage."
345,reasoning,medium,Explain the reasoning behind this statement: The sky appears blue because of Rayleigh scattering.,The sky appears blue because of Rayleigh scattering.
346,summarization,easy,"Summarize the following text in one sentence: The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment.","The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment."
347,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: I'm not sure how I feel about this product. It's okay I guess.",I'm not sure how I feel about this product. It's okay I guess.
348,translation,hard,Translate this English text to French: Thank you very much for your help.,Thank you very much for your help.
349,reasoning,hard,Explain the reasoning behind this statement: Ice floats on water because it is less dense than liquid water.,Ice floats on water because it is less dense than liquid water.
350,translation,medium,Translate this English text to French: This is a wonderful opportunity.,This is a wonderful opportunity.
351,summarization,medium,"Summarize the following text in one sentence: Quantum computing represents a paradigm shift in computational power. Unlike classical computers that use bits, quantum computers use qubits that can exist in multiple states simultaneously. This allows them to solve certain problems exponentially faster than traditional computers.","Quantum computing represents a paradigm shift in computational power. Unlike classical computers that use bits, quantum computers use qubits that can exist in multiple states simultaneously. This allows them to solve certain problems exponentially faster than traditional computers."
352,summarization,medium,"Summarize the following text in one sentence: Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause.","Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause."
353,reasoning,hard,Explain the reasoning behind this statement: Water boils at 100 degrees Celsius at sea level because that's when vapor pressure equals atmospheric pressure.,Water boils at 100 degrees Celsius at sea level because that's when vapor pressure equals atmospheric pressure.
354,classification,medium,"Classify the sentiment of this text as positive, negative, or neutral: This restaurant exceeded all my expectations.",This restaurant exceeded all my expectations.
355,qa,hard,"Answer the question based on the context: Question: What is photosynthesis? Context: Photosynthesis is the process by which plants convert light energy into chemical energy. Plants use sunlight, water, and carbon dioxide to produce glucose and oxygen.","Question: What is photosynthesis? Context: Photosynthesis is the process by which plants convert light energy into chemical energy. Plants use sunlight, water, and carbon dioxide to produce glucose and oxygen."
356,classification,medium,"Classify the sentiment of this text as positive, negative, or neutral: Waste of money. Very disappointed with the quality.",Waste of money. Very disappointed with the quality.
357,reasoning,hard,Explain the reasoning behind this statement: Metals conduct electricity because they have free electrons.,Metals conduct electricity because they have free electrons.
358,summarization,medium,"Summarize the following text in one sentence: Quantum computing represents a paradigm shift in computational power. Unlike classical computers that use bits, quantum computers use qubits that can exist in multiple states simultaneously. This allows them to solve certain problems exponentially faster than traditional computers.","Quantum computing represents a paradigm shift in computational power. Unlike classical computers that use bits, quantum computers use qubits that can exist in multiple states simultaneously. This allows them to solve certain problems exponentially faster than traditional computers."
359,translation,medium,"Translate this English text to French: Good morning, have a great day!","Good morning, have a great day!"
360,reasoning,hard,Explain the reasoning behind this statement: Vaccines work by training the immune system to recognize pathogens.,Vaccines work by training the immune system to recognize pathogens.
